date,policy,issue_hour,decision_time,slot,plan_before_kwh,candidate_plan_kwh,effective_plan_kwh
2025-02-01,C2,6,2025-02-01 06:00:00,37,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,38,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,39,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,40,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,41,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,42,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,43,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,44,14.652125240847226,194.36385021587137,194.36385021587137
2025-02-01,C2,6,2025-02-01 06:00:00,45,472.7409767548728,558.252634383093,558.252634383093
2025-02-01,C2,6,2025-02-01 06:00:00,46,530.6253230489176,530.6253230489176,530.6253230489176
2025-02-01,C2,6,2025-02-01 06:00:00,47,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,48,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,49,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,50,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,51,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,52,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,53,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,54,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,55,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,56,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,57,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,58,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,59,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,60,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,61,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,62,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,63,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,64,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,65,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,66,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,67,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,68,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,69,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,70,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,71,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,72,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,73,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,74,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,75,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,76,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,77,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,78,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,79,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,80,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,81,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,82,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,83,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,84,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,85,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,86,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,87,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,88,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,89,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,90,20.01312416002827,20.01312416002827,20.01312416002827
2025-02-01,C2,6,2025-02-01 06:00:00,91,102.30080855174084,102.30080855174084,102.30080855174084
2025-02-01,C2,6,2025-02-01 06:00:00,92,166.032736747537,166.032736747537,166.032736747537
2025-02-01,C2,6,2025-02-01 06:00:00,93,200.8857630373409,200.8857630373409,200.8857630373409
2025-02-01,C2,6,2025-02-01 06:00:00,94,253.39731542155505,253.39731542155505,253.39731542155505
2025-02-01,C2,6,2025-02-01 06:00:00,95,354.6856087440773,354.6856087440773,354.6856087440773
2025-02-01,C2,6,2025-02-01 06:00:00,96,448.69304782083054,448.69304782083054,448.69304782083054
2025-02-01,C2,6,2025-02-01 06:00:00,97,423.74310124540585,423.74310124540585,423.74310124540585
2025-02-01,C2,6,2025-02-01 06:00:00,98,445.8381851932661,445.8381851932661,445.8381851932661
2025-02-01,C2,6,2025-02-01 06:00:00,99,543.9242341320728,543.9242341320728,543.9242341320728
2025-02-01,C2,6,2025-02-01 06:00:00,100,601.1336863597837,601.1336863597837,601.1336863597837
2025-02-01,C2,6,2025-02-01 06:00:00,101,574.6341383614748,574.6341383614748,574.6341383614748
2025-02-01,C2,6,2025-02-01 06:00:00,102,542.527308973448,542.527308973448,542.527308973448
2025-02-01,C2,6,2025-02-01 06:00:00,103,621.9437608038447,621.9437608038447,621.9437608038447
2025-02-01,C2,6,2025-02-01 06:00:00,104,642.9117931976783,642.9117931976783,642.9117931976783
2025-02-01,C2,6,2025-02-01 06:00:00,105,484.21250547668734,484.21250547668734,484.21250547668734
2025-02-01,C2,6,2025-02-01 06:00:00,106,589.8678765195676,589.8678765195676,589.8678765195676
2025-02-01,C2,6,2025-02-01 06:00:00,107,489.473544787526,489.473544787526,489.473544787526
2025-02-01,C2,6,2025-02-01 06:00:00,108,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,109,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,110,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,111,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,112,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,113,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,114,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,115,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,116,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,117,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,118,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,119,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,120,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,121,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,122,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,123,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,124,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,125,0.0,0.0,0.0
2025-02-01,C2,6,2025-02-01 06:00:00,126,506.233888528633,532.3250167633958,532.3250167633958
2025-02-01,C2,6,2025-02-01 06:00:00,127,461.5714216402653,477.0014589931081,477.0014589931081
2025-02-01,C2,6,2025-02-01 06:00:00,128,446.9155369099332,462.54631405781646,462.54631405781646
2025-02-01,C2,6,2025-02-01 06:00:00,129,474.4167366190165,474.4167366190165,474.4167366190165
2025-02-01,C2,6,2025-02-01 06:00:00,130,485.29647875439406,485.29647875439406,485.29647875439406
2025-02-01,C2,6,2025-02-01 06:00:00,131,442.83771089109166,442.83771089109166,442.83771089109166
2025-02-01,C2,6,2025-02-01 06:00:00,132,423.98085691052194,432.3309287605406,432.3309287605406
2025-02-01,C2,6,2025-02-01 06:00:00,133,509.3451505644536,509.3451505644536,509.3451505644536
2025-02-01,C2,6,2025-02-01 06:00:00,134,416.9570494443864,416.9570494443864,416.9570494443864
2025-02-01,C2,6,2025-02-01 06:00:00,135,460.3800629301331,460.3800629301331,460.3800629301331
2025-02-01,C2,6,2025-02-01 06:00:00,136,434.3958561949494,434.9554591661506,434.9554591661506
2025-02-01,C2,6,2025-02-01 06:00:00,137,382.0145090227038,382.0145090227038,382.0145090227038
2025-02-01,C2,6,2025-02-01 06:00:00,138,397.57455850957314,397.57455850957314,397.57455850957314
2025-02-01,C2,6,2025-02-01 06:00:00,139,391.2748905670799,391.2748905670799,391.2748905670799
2025-02-01,C2,6,2025-02-01 06:00:00,140,398.0730729737883,398.0730729737883,398.0730729737883
2025-02-01,C2,6,2025-02-01 06:00:00,141,455.991722422895,455.991722422895,455.991722422895
2025-02-01,C2,6,2025-02-01 06:00:00,142,453.2125132690469,453.2125132690469,453.2125132690469
2025-02-01,C2,6,2025-02-01 06:00:00,143,495.2270138265318,495.2270138265318,495.2270138265318
2025-02-01,C2,6,2025-02-01 06:00:00,144,554.5661419245666,554.5661419245666,554.5661419245666
2025-02-01,C2,12,2025-02-01 12:00:00,73,0.0,417.96417695507125,417.96417695507125
2025-02-01,C2,12,2025-02-01 12:00:00,74,0.0,452.7250721014701,452.7250721014701
2025-02-01,C2,12,2025-02-01 12:00:00,75,0.0,414.53668596310285,414.53668596310285
2025-02-01,C2,12,2025-02-01 12:00:00,76,0.0,393.3337311025279,393.3337311025279
2025-02-01,C2,12,2025-02-01 12:00:00,77,0.0,414.96059188739855,414.96059188739855
